Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,tool_wear_torque_product
1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,66382.79999999999,10.5,0.0
0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,65190.399999999994,10.5,138.89999999999998
0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,74001.2,10.399999999999977,247.0
0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,56603.5,10.400000000000034,276.5
0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,56320.0,10.5,360.0
1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,59707.5,10.5,460.9
0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,66059.2,10.5,593.6
0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,61385.4,10.5,643.2
1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,47676.200000000004,10.399999999999977,514.8000000000001
1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,48748.0,10.5,588.0
2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,42589.799999999996,10.5,573.5999999999999
2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,63038.899999999994,10.5,1284.6999999999998
1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,68422.90000000001,10.5,1737.4
1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,52260.0,10.599999999999966,1110.0
0,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,39886.0,10.599999999999966,784.0
0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,74632.8,10.599999999999966,2032.8
1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,61092.6,10.599999999999966,2050.4
1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,64296.0,10.5,2143.2000000000003
2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,71177.0,10.399999999999977,2725.0
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,53040.0,10.400000000000034,1787.5
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,58712.50000000001,10.400000000000034,2476.6000000000004
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,64959.99999999999,10.5,2822.3999999999996
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,48536.7,10.400000000000034,1995.5
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,45180.6,10.399999999999977,1747.6
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,58225.299999999996,10.399999999999977,2611.0
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,43361.3,10.5,1700.9
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,58968.0,10.399999999999977,2925.0
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,44550.600000000006,10.299999999999955,1894.2
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,63603.8,10.299999999999955,3624.4
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,50959.3,10.399999999999977,2528.4
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,64539.8,10.399999999999977,4145.2
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,45849.0,10.399999999999977,2269.5
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,68537.7,10.399999999999977,4395.3
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,54112.5,10.400000000000034,3022.5
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,54097.3,10.300000000000011,3296.5000000000005
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,70567.2,10.399999999999977,4762.8
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,58022.700000000004,10.300000000000011,3706.7000000000003
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,56408.8,10.300000000000011,4076.8
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,69915.3,10.300000000000011,5374.200000000001
0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,70875.0,10.300000000000011,5827.5
0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,61834.799999999996,10.300000000000011,5130.2
0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,69494.4,10.300000000000011,5842.0
1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,67168.8,10.300000000000011,5744.7
2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,66542.0,10.399999999999977,5820.0
1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,69920.0,10.300000000000011,5937.5
0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,73109.90000000001,10.300000000000011,6284.8
1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,47549.4,10.300000000000011,3354.0
0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,65653.4,10.300000000000011,6157.9
2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,76807.5,10.399999999999977,7276.5
1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,62269.200000000004,10.300000000000011,6174.0
0,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,13160.599999999999,10.200000000000045,657.8
0,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,75926.7,10.200000000000045,7960.5
2,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,65568.59999999999,10.199999999999989,6438.599999999999
0,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,54931.5,10.300000000000011,5335.2
0,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,50899.100000000006,10.300000000000011,4635.400000000001
0,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,61538.4,10.300000000000011,6349.200000000001
0,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,62624.799999999996,10.300000000000011,6699.2
0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,60973.899999999994,10.300000000000011,6448.0
1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,48999.5,10.199999999999989,4779.0
0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,74963.2,10.300000000000011,8976.0
