,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,tool_wear_torque_product
0,1,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0,0,0,0,0,0,0.6294432133840252,0.4988493226094761,-1.526544123077362
1,0,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0,0,0,0,0,0,0.512456198606482,0.4988493226094761,-1.4774007942650573
2,0,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0,0,0,0,0,0,1.376888595287112,0.3989535894637948,-1.4391546182779429
3,0,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0,0,0,0,0,0,-0.33000924687598204,0.39895358946385157,-1.4287174102148543
4,0,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0,0,0,0,0,0,-0.3578235866021089,0.4988493226094761,-1.3991748043413665
5,1,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0,0,0,0,0,0,-0.025474112802268585,0.4988493226094761,-1.3634760147289724
6,0,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0,0,0,0,0,0,0.5976946407724752,0.4988493226094761,-1.3165262686282317
7,0,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0,0,0,0,0,0,0.13914557194717866,0.4988493226094761,-1.2989776069357168
8,1,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0,0,0,0,0,0,-1.2058715221389527,0.3989535894637948,-1.3444059972848885
9,1,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,0,0,0,0,0,-1.1007166391814125,0.4988493226094761,-1.3185075691419028
10,2,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0,0,0,0,0,0,-1.7049010021494355,0.4988493226094761,-1.3236023418913427
11,2,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0,0,0,0,0,0,0.3013713593798085,0.4988493226094761,-1.0720125570214363
